"filename", "language", "TypeScript", "CSS", "JSON", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\custom.js", "JavaScript", 0, 0, 0, 0, -15, 0, 0, -14, -1, -30
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\data\data.json", "JSON", 0, 0, -1504, 0, 0, 0, 0, 0, -1, -1505
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\fontawesome\css\font-awesome.css", "CSS", 0, -2327, 0, 0, 0, 0, 0, -10, -1, -2338
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\fontawesome\css\font-awesome.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, -3, -1, -5
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\app-dark.min.css", "CSS", 0, -19075, 0, 0, 0, 0, 0, -22, -9, -19106
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\app.min.css", "CSS", 0, -19060, 0, 0, 0, 0, 0, -24, -9, -19093
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\custom\datepicker\bs-datepicker.css", "CSS", 0, -769, 0, 0, 0, 0, 0, -9, -10, -788
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\icons.min.css", "CSS", 0, -21554, 0, 0, 0, 0, 0, -1, -1, -21556
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\britecharts.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\buttons.bootstrap5.css", "CSS", 0, -190, 0, 0, 0, 0, 0, 0, -6, -196
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\dataTables.bootstrap5.css", "CSS", 0, -210, 0, 0, 0, 0, 0, -5, -10, -225
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\frappe-gantt.css", "CSS", 0, -101, 0, 0, 0, 0, 0, 0, -19, -120
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\fullcalendar.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\jquery-jvectormap-1.2.2.css", "CSS", 0, -33, 0, 0, 0, 0, 0, 0, -3, -36
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\jstree.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\quill.bubble.css", "CSS", 0, -946, 0, 0, 0, 0, 0, -6, -1, -953
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\quill.core.css", "CSS", 0, -391, 0, 0, 0, 0, 0, -6, -1, -398
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\quill.snow.css", "CSS", 0, -939, 0, 0, 0, 0, 0, -6, -1, -946
