"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-account-requests\approved-account-requests.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-account-requests\approved-account-requests.component.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-account-requests\approved-account-requests.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-account-requests\approved-account-requests.component.ts", "TypeScript", 305, 0, 0, 0, 0, 0, 0, 14, 34, 353
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-currency-requests\approved-currency-requests.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-currency-requests\approved-currency-requests.component.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-currency-requests\approved-currency-requests.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\approved-currency-requests\approved-currency-requests.component.ts", "TypeScript", 300, 0, 0, 0, 0, 0, 0, 20, 31, 351
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\currency-requests\currency-requests.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\currency-requests\currency-requests.component.html", "HTML", 0, 122, 0, 0, 0, 0, 0, 0, 7, 129
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\currency-requests\currency-requests.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\currency-requests\currency-requests.component.ts", "TypeScript", 743, 0, 0, 0, 0, 0, 0, 41, 54, 838
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-account-requests\rejected-account-requests.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-account-requests\rejected-account-requests.component.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-account-requests\rejected-account-requests.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-account-requests\rejected-account-requests.component.ts", "TypeScript", 307, 0, 0, 0, 0, 0, 0, 20, 32, 359
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-currency-requests\rejected-currency-requests.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-currency-requests\rejected-currency-requests.component.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-currency-requests\rejected-currency-requests.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\c\requests\rejected-currency-requests\rejected-currency-requests.component.ts", "TypeScript", 302, 0, 0, 0, 0, 0, 0, 20, 32, 354
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\guard\role-approver.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\guard\role-approver.guard.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\payloads\account-request.spec.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\payloads\account-request.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\payloads\curency-request.spec.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\payloads\curency-request.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\payloads\remark.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\services\approver.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Approver\services\approver.service.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 25, 156
